Voltage (V),Current (A),Power (W),RPM,Efficiency (%)
2.19,0.0,0.0,0.0,0
2.18,-0.0,-1e-05,0.0,0
2.19,0.01,1e-05,0.0,0.0
2.19,0.0,1e-05,0.0,0
2.19,0.0,0.0,0.0,0
2.18,0.0,1e-05,0.0,0
2.18,-0.0,-0.0,0.0,0
2.18,0.0,1e-05,0.0,0
2.18,0.0,0.0,0.0,0
2.18,0.01,1e-05,0.0,0.0
7.93,15.99,0.12677,0.0,0.0
7.88,15.99,0.12607,305.92,0.5085009902478123
8.0,15.99,0.12786,537.4,0.879868611652676
7.88,15.99,0.12607,748.06,1.2434272056903057
8.05,15.73,0.12662,935.45,1.5472289753990789
7.98,15.99,0.12767,1112.35,1.8257811446589196
8.05,15.99,0.12875999999999999,1271.29,2.068516075436469
7.96,12.48,0.09929,1411.23,2.9752862875579313
8.1,12.92,0.10468000000000001,1547.99,3.0979844384757507
7.89,11.32,0.08929999999999999,1656.73,3.884963296103086
8.05,12.25,0.09863,1792.11,3.8061973958168274
8.07,9.28,0.07493999999999999,1892.51,5.292675718965178
8.06,9.83,0.07920999999999999,1988.07,5.255350980584123
8.1,10.78,0.0873,2082.47,4.994978090291529
8.12,9.06,0.07354999999999999,2173.91,6.18893536391706
8.12,9.44,0.07671,2261.42,6.178909279835859
8.14,6.4,0.05208,2328.83,9.362504119906221
8.13,7.8,0.06341,2369.67,7.826387299788823
8.19,8.23,0.0674,2415.46,7.5054152724949335
8.22,6.87,0.0565,2480.16,9.198346343727103
8.18,6.3,0.05153,2520.16,10.242191099559971
8.17,7.41,0.06057,2553.63,8.834384982621875
8.23,7.23,0.0595,2569.37,9.043720464441238
8.22,5.82,0.04784,2615.06,11.448417773397274
8.24,7.93,0.0653,2641.31,8.4659868630587
8.24,5.73,0.04721,2665.25,11.822647254810875
8.24,5.86,0.048229999999999995,2669.51,11.578847604687157
8.21,6.16,0.05058,2683.84,11.114536737758343
8.21,7.99,0.06558,2712.97,8.661910032088931
8.17,5.01,0.04095,2748.76,14.064867771566588
3.88,-0.0,-1e-05,0.0,0
3.37,0.02,8e-05,0.0,0.0
3.24,0.01,2.9999999999999997e-05,0.0,0.0
3.09,0.01,2.9999999999999997e-05,0.0,0.0
3.08,-0.0,-0.0,0.0,0
3.05,0.0,1e-05,0.0,0
2.92,0.0,0.0,0.0,0
2.9,-0.0,-1e-05,0.0,0
2.95,0.0,0.0,0.0,0
2.89,-0.0,-0.0,0.0,0
2.84,-0.01,-2e-05,0.0,0
2.86,-0.01,-4e-05,0.0,0
2.84,-0.01,-2.9999999999999997e-05,0.0,0
2.8,-0.01,-2.9999999999999997e-05,0.0,0
2.72,-0.01,-2.9999999999999997e-05,0.0,0
2.74,-0.01,-2.9999999999999997e-05,0.0,0
2.72,-0.01,-2.9999999999999997e-05,0.0,0
2.67,-0.0,-1e-05,0.0,0
2.64,-0.0,-1e-05,0.0,0
2.67,-0.0,-1e-05,0.0,0
2.64,-0.0,-1e-05,0.0,0
2.63,-0.01,-2e-05,0.0,0
2.6,-0.01,-2e-05,0.0,0
